County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Los Angeles,Santa Monica,"92,306",1,1,11028,,2,2/28/2017,2/28/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Sierra Madre,"11,038",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Signal Hill,"11,622",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,South El Monte,"20,987",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,South Gate,"95,430",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,South Pasadena,"25,888",1,1,2319,,2,10/4/2017,10/4/2017,2,,0,,1,1,12/21/2016,12/21/2016,1,,,,,,,,,,,,,,,,,,,
Los Angeles,Temple City,"36,367",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Torrance,"146,758",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Vernon,113,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Walnut,"30,199",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,West Covina,"107,598",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,West Hollywood,"37,080",1,1,85-0129,,2,11/21/1985,11/21/1985,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Westlake Village,"8,440",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Whittier,"86,838",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Madera,Chowchilla,"18,558",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Madera,Madera,"65,508",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Belvedere,"2,126",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Corte Madera,"9,864",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Fairfax,"7,598",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Larkspur,"12,396",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Mill Valley,"14,355",1,1,17-20,,2,4/17/2017,4/17/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Novato,"55,980",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Ross,"2,480",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,San Anselmo,"12,580",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,San Rafael,"59,070",1,1,,,2,8/21/2017,8/21/2017,3,Advisory Letter,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Sausalito,"7,141",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Marin,Tiburon,"9,165",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,Fort Bragg,"7,312",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,Point Arena,453,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,Ukiah,"16,036",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,Willits,"4,875",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Merced,Atwater,"29,397",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Merced,Dos Palos,"5,445",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Merced,Gustine,"5,844",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Merced,Livingston,"14,140",1,1,,,2,5/16/2017,5/16/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Merced,Los Banos,"39,183",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Merced,Merced,"83,081",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Modoc,Alturas,"2,540",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Mono,Mammoth Lakes,"8,132",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Carmel-by-the-Sea,"3,897",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Del Rey Oaks,"1,687",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Gonzales,"8,479",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
